Date,Open,High,Low,Close,Adj Close,Volume
13/03/1986,0.088542,0.101563,0.088542,0.097222,0.061434,1031788800
14/03/1986,0.097222,0.102431,0.097222,0.100694,0.063628,308160000
17/03/1986,0.100694,0.103299,0.100694,0.102431,0.064725,133171200
18/03/1986,0.102431,0.103299,0.098958,0.099826,0.063079,67766400
19/03/1986,0.099826,0.100694,0.097222,0.09809,0.061982,47894400
20/03/1986,0.09809,0.09809,0.094618,0.095486,0.060337,58435200
21/03/1986,0.095486,0.097222,0.091146,0.092882,0.058692,59990400
24/03/1986,0.092882,0.092882,0.08941,0.090278,0.057046,65289600
25/03/1986,0.090278,0.092014,0.08941,0.092014,0.058143,32083200
26/03/1986,0.092014,0.095486,0.091146,0.094618,0.059788,22752000
27/03/1986,0.094618,0.096354,0.094618,0.096354,0.060885,16848000
31/03/1986,0.096354,0.096354,0.09375,0.095486,0.060337,12873600
01/04/1986,0.095486,0.095486,0.094618,0.094618,0.059788,11088000
02/04/1986,0.094618,0.097222,0.094618,0.095486,0.060337,27014400
03/04/1986,0.096354,0.098958,0.096354,0.096354,0.060885,23040000
04/04/1986,0.096354,0.097222,0.096354,0.096354,0.060885,26582400
07/04/1986,0.096354,0.097222,0.092882,0.094618,0.059788,16560000
08/04/1986,0.094618,0.097222,0.094618,0.095486,0.060337,10252800
09/04/1986,0.095486,0.09809,0.095486,0.097222,0.061434,12153600
10/04/1986,0.097222,0.098958,0.095486,0.09809,0.061982,13881600
11/04/1986,0.098958,0.101563,0.098958,0.099826,0.063079,17222400
14/04/1986,0.099826,0.101563,0.099826,0.100694,0.063628,12153600
15/04/1986,0.100694,0.100694,0.097222,0.100694,0.063628,9302400
16/04/1986,0.100694,0.105035,0.099826,0.104167,0.065822,31910400
17/04/1986,0.104167,0.105035,0.104167,0.105035,0.066371,22003200
18/04/1986,0.105035,0.105035,0.100694,0.101563,0.064177,21628800
21/04/1986,0.101563,0.102431,0.098958,0.101563,0.064177,22924800
22/04/1986,0.101563,0.101563,0.099826,0.099826,0.063079,15552000
23/04/1986,0.099826,0.100694,0.098958,0.10026,0.063354,15609600
24/04/1986,0.10026,0.111979,0.099826,0.110243,0.069662,62352000
25/04/1986,0.111111,0.121962,0.111111,0.117188,0.07405,85795200
28/04/1986,0.117188,0.118924,0.116319,0.118056,0.074599,28886400
29/04/1986,0.118056,0.118056,0.113715,0.114583,0.072404,30326400
30/04/1986,0.114583,0.115451,0.109375,0.111979,0.070759,30902400
01/05/1986,0.111979,0.111979,0.108507,0.110243,0.069662,54345600
02/05/1986,0.110243,0.111979,0.109375,0.110243,0.069662,20246400
05/05/1986,0.110243,0.110243,0.109375,0.109375,0.069113,3254400
06/05/1986,0.110243,0.111979,0.110243,0.110243,0.069662,9734400
07/05/1986,0.110243,0.111111,0.108507,0.110243,0.069662,5155200
08/05/1986,0.110243,0.111111,0.109375,0.111111,0.07021,3542400
09/05/1986,0.111111,0.111111,0.110243,0.110243,0.069662,6076800
12/05/1986,0.110243,0.113715,0.110243,0.111111,0.07021,10483200
13/05/1986,0.111111,0.112847,0.111111,0.111979,0.070759,3830400
14/05/1986,0.111979,0.111979,0.111111,0.111111,0.07021,9302400
15/05/1986,0.111111,0.112847,0.111111,0.111111,0.07021,3801600
16/05/1986,0.111111,0.114583,0.111111,0.111979,0.070759,11952000
19/05/1986,0.111979,0.111979,0.109375,0.110243,0.069662,11001600
20/05/1986,0.110243,0.110243,0.108507,0.109375,0.069113,61977600
21/05/1986,0.109375,0.110243,0.107639,0.107639,0.068016,8092800
22/05/1986,0.107639,0.108507,0.107639,0.107639,0.068016,4406400
23/05/1986,0.107639,0.109375,0.107639,0.107639,0.068016,4089600
